Year,Value,State,Age
2016,43.6,Utah,18 to 24
2014,13.9,Utah,18 to 24
2012,36.9,Utah,18 to 24
2010,11.8,Utah,18 to 24
2020,59.3,Utah,25 to 34
2018,42.6,Utah,25 to 34
2016,51.8,Utah,25 to 34
2014,23.3,Utah,25 to 34
2012,47.5,Utah,25 to 34
2010,30.3,Utah,25 to 34
2020,61.8,Utah,35 to 44
2018,59.9,Utah,35 to 44
2016,65.2,Utah,35 to 44
2014,29.5,Utah,35 to 44
2012,52.6,Utah,35 to 44
2010,52.6,Utah,35 to 44
2020,69.5,Utah,45 to 64
2018,68.6,Utah,45 to 64
2016,71.5,Utah,45 to 64
2014,46.3,Utah,45 to 64
2012,65.1,Utah,45 to 64
2010,62.7,Utah,45 to 64
2020,75.6,Utah,65+
2018,73.5,Utah,65+
2016,76.6,Utah,65+
2014,67.9,Utah,65+
2012,81.3,Utah,65+
2010,56.9,Utah,65+
2020,68.4,Vermont,Total
2018,54.9,Vermont,Total
2016,62.5,Vermont,Total
2014,42.5,Vermont,Total
2012,63.3,Vermont,Total
2010,55,Vermont,Total
2020,*,Vermont,18 to 24
2018,*,Vermont,18 to 24
2016,*,Vermont,18 to 24
2014,*,Vermont,18 to 24
2012,39.1,Vermont,18 to 24
2010,19.8,Vermont,18 to 24
2020,52.8,Vermont,25 to 34
2018,40.4,Vermont,25 to 34
2016,*,Vermont,25 to 34
2014,*,Vermont,25 to 34
2012,44.6,Vermont,25 to 34
2010,44.7,Vermont,25 to 34
2020,*,Vermont,35 to 44
2018,49.7,Vermont,35 to 44
2016,*,Vermont,35 to 44
2014,*,Vermont,35 to 44
2012,61.2,Vermont,35 to 44
2010,65.4,Vermont,35 to 44
2020,73.4,Vermont,45 to 64
2018,60,Vermont,45 to 64
2016,66.5,Vermont,45 to 64
2014,52.3,Vermont,45 to 64
2012,69.2,Vermont,45 to 64
2010,66.4,Vermont,45 to 64
2020,79.6,Vermont,65+
2018,68.2,Vermont,65+
2016,77.1,Vermont,65+
2014,62.2,Vermont,65+
2012,82.2,Vermont,65+
2010,75.5,Vermont,65+
2020,71.5,Virginia,Total
2018,57.5,Virginia,Total
2016,68.2,Virginia,Total
2014,41.7,Virginia,Total
2012,66.9,Virginia,Total
2010,40.7,Virginia,Total
2020,51.8,Virginia,18 to 24
2018,39.7,Virginia,18 to 24
2016,60.7,Virginia,18 to 24
2014,16.5,Virginia,18 to 24
2012,47.7,Virginia,18 to 24
2010,19.7,Virginia,18 to 24
2020,69.7,Virginia,25 to 34
2018,50.2,Virginia,25 to 34
2016,55.3,Virginia,25 to 34
2014,26.6,Virginia,25 to 34
2012,59,Virginia,25 to 34
2010,32.8,Virginia,25 to 34
2020,72.5,Virginia,35 to 44
2018,47,Virginia,35 to 44
2016,68.8,Virginia,35 to 44
2014,40.8,Virginia,35 to 44
2012,71.3,Virginia,35 to 44
2010,49.2,Virginia,35 to 44
2020,75.3,Virginia,45 to 64
2018,62.7,Virginia,45 to 64
2016,74.2,Virginia,45 to 64
2014,48.7,Virginia,45 to 64
2012,71.9,Virginia,45 to 64
2010,55.8,Virginia,45 to 64
2020,76.2,Virginia,65+
2018,70.1,Virginia,65+
2016,72.6,Virginia,65+
2014,57.1,Virginia,65+
2012,72.4,Virginia,65+
2010,50.6,Virginia,65+
2020,71.5,Washington,Total
2018,61.9,Washington,Total
2016,66.3,Washington,Total
2014,50,Washington,Total
2012,65.6,Washington,Total
2010,58.1,Washington,Total
2020,52.4,Washington,18 to 24
2018,34.8,Washington,18 to 24
2016,45.9,Washington,18 to 24
2014,24.3,Washington,18 to 24
2012,42.1,Washington,18 to 24
2010,31,Washington,18 to 24
2020,66.1,Washington,25 to 34
2018,49.8,Washington,25 to 34
2016,54.2,Washington,25 to 34
2014,29.4,Washington,25 to 34
2012,53.6,Washington,25 to 34
2010,47.1,Washington,25 to 34
2020,71,Washington,35 to 44
2018,65.8,Washington,35 to 44
2016,64.4,Washington,35 to 44
2014,44.6,Washington,35 to 44
2012,71.3,Washington,35 to 44
2010,67.7,Washington,35 to 44
2020,76.6,Washington,45 to 64
2018,65.9,Washington,45 to 64
2016,73.5,Washington,45 to 64
2014,59.3,Washington,45 to 64
2012,70.1,Washington,45 to 64
2010,77,Washington,45 to 64
2020,77.3,Washington,65+
2018,77,Washington,65+
2016,77.6,Washington,65+
2014,70,Washington,65+
2012,76.7,Washington,65+
2010,77.3,Washington,65+
2020,56.1,West Virginia,Total
2018,44.1,West Virginia,Total
2016,50.8,West Virginia,Total
2014,33.6,West Virginia,Total
2012,47.8,West Virginia,Total
2010,41,West Virginia,Total
2020,34.6,West Virginia,18 to 24
2018,22.6,West Virginia,18 to 24
2016,32.5,West Virginia,18 to 24
2014,14.4,West Virginia,18 to 24
2012,22.7,West Virginia,18 to 24
2010,19,West Virginia,18 to 24
2020,41.5,West Virginia,25 to 34
2018,25.8,West Virginia,25 to 34
2016,43.8,West Virginia,25 to 34
2014,20,West Virginia,25 to 34
2012,31.6,West Virginia,25 to 34
2010,31.6,West Virginia,25 to 34
2020,57.1,West Virginia,35 to 44
2018,37.1,West Virginia,35 to 44
2016,47.2,West Virginia,35 to 44
2014,29.5,West Virginia,35 to 44
2012,47,West Virginia,35 to 44
2010,47.5,West Virginia,35 to 44
2020,59.3,West Virginia,45 to 64
2018,48.1,West Virginia,45 to 64
2016,52.6,West Virginia,45 to 64
2014,37.4,West Virginia,45 to 64
2012,53.3,West Virginia,45 to 64
2010,60.9,West Virginia,45 to 64
2020,68,West Virginia,65+
2018,62.1,West Virginia,65+
2016,63.3,West Virginia,65+
2014,49,West Virginia,65+
2012,61.8,West Virginia,65+
2010,50.9,West Virginia,65+
2020,73.6,Wisconsin,Total
2018,64.6,Wisconsin,Total
2016,70.5,Wisconsin,Total
2014,55.4,Wisconsin,Total
2012,73.6,Wisconsin,Total
2010,54.3,Wisconsin,Total
2020,56,Wisconsin,18 to 24
2018,47.7,Wisconsin,18 to 24
2016,47.1,Wisconsin,18 to 24
2014,27.9,Wisconsin,18 to 24
2012,56,Wisconsin,18 to 24
2010,23.4,Wisconsin,18 to 24
2020,78,Wisconsin,25 to 34
2018,49.3,Wisconsin,25 to 34
2016,54.6,Wisconsin,25 to 34
2014,39.6,Wisconsin,25 to 34
2012,66.1,Wisconsin,25 to 34
2010,46.1,Wisconsin,25 to 34
2020,69.1,Wisconsin,35 to 44
2018,58.5,Wisconsin,35 to 44
2016,75.2,Wisconsin,35 to 44
2014,52.6,Wisconsin,35 to 44
2012,73.9,Wisconsin,35 to 44
2010,63.5,Wisconsin,35 to 44
2020,74.5,Wisconsin,45 to 64
2018,72,Wisconsin,45 to 64
2016,79,Wisconsin,45 to 64
2014,64.9,Wisconsin,45 to 64
2012,77.8,Wisconsin,45 to 64
2010,74.2,Wisconsin,45 to 64
2020,82.4,Wisconsin,65+
2018,76,Wisconsin,65+
2016,77.9,Wisconsin,65+
2014,68.9,Wisconsin,65+
2012,82.4,Wisconsin,65+
2010,68.9,Wisconsin,65+
2020,65.5,Wyoming,Total
2018,52.1,Wyoming,Total
2016,64.8,Wyoming,Total
2014,40.3,Wyoming,Total
2012,58.9,Wyoming,Total
2010,47.2,Wyoming,Total
2020,*,Wyoming,18 to 24
2018,*,Wyoming,18 to 24
2016,*,Wyoming,18 to 24
2014,*,Wyoming,18 to 24
2012,32.3,Wyoming,18 to 24
2010,18.7,Wyoming,18 to 24
2020,*,Wyoming,25 to 34
2018,35.2,Wyoming,25 to 34
2016,*,Wyoming,25 to 34
2014,28.4,Wyoming,25 to 34
2012,54.3,Wyoming,25 to 34
2010,39,Wyoming,25 to 34
2020,*,Wyoming,35 to 44
2018,*,Wyoming,35 to 44
2016,*,Wyoming,35 to 44
2014,*,Wyoming,35 to 44
2012,54.5,Wyoming,35 to 44
2010,54.3,Wyoming,35 to 44
2020,74.1,Wyoming,45 to 64
2018,62.5,Wyoming,45 to 64
2016,68.6,Wyoming,45 to 64
2014,49.5,Wyoming,45 to 64
2012,61.8,Wyoming,45 to 64
2010,70.7,Wyoming,45 to 64
2020,76.6,Wyoming,65+
2018,71.8,Wyoming,65+
2016,*,Wyoming,65+
2014,60.1,Wyoming,65+
2012,81.1,Wyoming,65+
2010,67.4,Wyoming,65+
