Year,Value,State,Age
2012,76.2,District Of Columbia,25 to 34
2010,41.6,District Of Columbia,25 to 34
2020,82.6,District Of Columbia,35 to 44
2018,67.7,District Of Columbia,35 to 44
2016,*,District Of Columbia,35 to 44
2014,*,District Of Columbia,35 to 44
2012,81.9,District Of Columbia,35 to 44
2010,49.2,District Of Columbia,35 to 44
2020,85.4,District Of Columbia,45 to 64
2018,57.5,District Of Columbia,45 to 64
2016,75.7,District Of Columbia,45 to 64
2014,62,District Of Columbia,45 to 64
2012,77,District Of Columbia,45 to 64
2010,64.1,District Of Columbia,45 to 64
2020,81.1,District Of Columbia,65+
2018,66.7,District Of Columbia,65+
2016,*,District Of Columbia,65+
2014,66.6,District Of Columbia,65+
2012,80.2,District Of Columbia,65+
2010,53.5,District Of Columbia,65+
2020,62.1,Florida,Total
2018,52.6,Florida,Total
2016,59.5,Florida,Total
2014,44.8,Florida,Total
2012,60.8,Florida,Total
2010,43.9,Florida,Total
2020,46.6,Florida,18 to 24
2018,29.7,Florida,18 to 24
2016,37.3,Florida,18 to 24
2014,17.6,Florida,18 to 24
2012,41.9,Florida,18 to 24
2010,23,Florida,18 to 24
2020,54.3,Florida,25 to 34
2018,40,Florida,25 to 34
2016,51.6,Florida,25 to 34
2014,30,Florida,25 to 34
2012,51.9,Florida,25 to 34
2010,34.3,Florida,25 to 34
2020,58.6,Florida,35 to 44
2018,44,Florida,35 to 44
2016,57.6,Florida,35 to 44
2014,35.8,Florida,35 to 44
2012,60.1,Florida,35 to 44
2010,48.7,Florida,35 to 44
2020,63.3,Florida,45 to 64
2018,57.9,Florida,45 to 64
2016,62.3,Florida,45 to 64
2014,51.6,Florida,45 to 64
2012,64.5,Florida,45 to 64
2010,58,Florida,45 to 64
2020,72.1,Florida,65+
2018,65.9,Florida,65+
2016,69.8,Florida,65+
2014,60,Florida,65+
2012,69.8,Florida,65+
2010,59.9,Florida,65+
2020,66.1,Georgia,Total
2018,55.9,Georgia,Total
2016,60.2,Georgia,Total
2014,43.2,Georgia,Total
2012,61.9,Georgia,Total
2010,43.6,Georgia,Total
2020,52.9,Georgia,18 to 24
2018,36.7,Georgia,18 to 24
2016,43.5,Georgia,18 to 24
2014,22.4,Georgia,18 to 24
2012,40.2,Georgia,18 to 24
2010,20.8,Georgia,18 to 24
2020,58.6,Georgia,25 to 34
2018,46.8,Georgia,25 to 34
2016,54.4,Georgia,25 to 34
2014,32.2,Georgia,25 to 34
2012,61,Georgia,25 to 34
2010,40.5,Georgia,25 to 34
2020,63.7,Georgia,35 to 44
2018,56.7,Georgia,35 to 44
2016,55.5,Georgia,35 to 44
2014,44,Georgia,35 to 44
2012,59.1,Georgia,35 to 44
2010,50.9,Georgia,35 to 44
2020,72.6,Georgia,45 to 64
2018,62.1,Georgia,45 to 64
2016,64.9,Georgia,45 to 64
2014,47,Georgia,45 to 64
2012,68.4,Georgia,45 to 64
2010,53.8,Georgia,45 to 64
2020,71.4,Georgia,65+
2018,65.2,Georgia,65+
2016,72.4,Georgia,65+
2014,60.7,Georgia,65+
2012,68.7,Georgia,65+
2010,44.7,Georgia,65+
2020,64.3,Hawaii,Total
2018,44,Hawaii,Total
2016,47.3,Hawaii,Total
2014,41.8,Hawaii,Total
2012,51.6,Hawaii,Total
2010,43.1,Hawaii,Total
2020,44.4,Hawaii,18 to 24
2018,23.9,Hawaii,18 to 24
2016,21.7,Hawaii,18 to 24
2014,8.7,Hawaii,18 to 24
2012,26,Hawaii,18 to 24
2010,21.9,Hawaii,18 to 24
2020,51.7,Hawaii,25 to 34
2018,37.5,Hawaii,25 to 34
2016,34.3,Hawaii,25 to 34
2014,29.4,Hawaii,25 to 34
2012,35.5,Hawaii,25 to 34
2010,32,Hawaii,25 to 34
2020,65.6,Hawaii,35 to 44
2018,32.3,Hawaii,35 to 44
2016,46.6,Hawaii,35 to 44
2014,35.8,Hawaii,35 to 44
2012,45.2,Hawaii,35 to 44
2010,51.9,Hawaii,35 to 44
2020,73.9,Hawaii,45 to 64
2018,50,Hawaii,45 to 64
2016,54.6,Hawaii,45 to 64
2014,51.7,Hawaii,45 to 64
2012,61.8,Hawaii,45 to 64
2010,63.8,Hawaii,45 to 64
2020,66.6,Hawaii,65+
2018,56.5,Hawaii,65+
2016,60.3,Hawaii,65+
2014,57.7,Hawaii,65+
2012,63.7,Hawaii,65+
2010,56.5,Hawaii,65+
2020,64.9,Idaho,Total
2018,47.9,Idaho,Total
2016,62.1,Idaho,Total
2014,41.8,Idaho,Total
2012,63.9,Idaho,Total
2010,47.5,Idaho,Total
2020,53.9,Idaho,18 to 24
2018,21.4,Idaho,18 to 24
2016,44.3,Idaho,18 to 24
2014,12.5,Idaho,18 to 24
2012,31.9,Idaho,18 to 24
2010,21.2,Idaho,18 to 24
2020,59.7,Idaho,25 to 34
2018,35.3,Idaho,25 to 34
2016,51.4,Idaho,25 to 34
2014,31.2,Idaho,25 to 34
2012,57.3,Idaho,25 to 34
2010,35.5,Idaho,25 to 34
2020,66.2,Idaho,35 to 44
2018,48.3,Idaho,35 to 44
2016,55.7,Idaho,35 to 44
2014,30,Idaho,35 to 44
2012,70.6,Idaho,35 to 44
2010,57.3,Idaho,35 to 44
2020,65.8,Idaho,45 to 64
2018,54.1,Idaho,45 to 64
2016,69.1,Idaho,45 to 64
